observation_date,RESBALNS
2015-01-01,2683.709
2015-02-01,2496.868
2015-03-01,2675.202
2015-04-01,2698.960
2015-05-01,2584.359
2015-06-01,2553.138
2015-07-01,2590.841
2015-08-01,2608.263
2015-09-01,2643.958
2015-10-01,2668.193
2015-11-01,2602.104
2015-12-01,2419.774
2016-01-01,2376.108
2016-02-01,2448.797
2016-03-01,2460.382
2016-04-01,2427.737
2016-05-01,2384.089
2016-06-01,2367.024
2016-07-01,2309.659
2016-08-01,2352.298
2016-09-01,2265.320
2016-10-01,2095.127
2016-11-01,2140.315
2016-12-01,2031.007
2017-01-01,2092.776
2017-02-01,2237.980
2017-03-01,2326.253
2017-04-01,2281.420
2017-05-01,2225.769
2017-06-01,2206.547
2017-07-01,2233.323
2017-08-01,2344.015
2017-09-01,2295.735
2017-10-01,2245.701
2017-11-01,2314.455
2017-12-01,2244.274
2018-01-01,2214.601
2018-02-01,2238.775
2018-03-01,2167.009
2018-04-01,2086.192
2018-05-01,2022.453
2018-06-01,1988.224
2018-07-01,1949.820
2018-08-01,1911.165
2018-09-01,1873.866
2018-10-01,1830.017
2018-11-01,1775.291
2018-12-01,1691.394
2019-01-01,1639.030
2019-02-01,1645.233
2019-03-01,1661.297
2019-04-01,1559.450
2019-05-01,1511.285
2019-06-01,1535.857
2019-07-01,1513.550
2019-08-01,1520.876
2019-09-01,1439.771
2019-10-01,1481.513
2019-11-01,1529.341
2019-12-01,1630.090
2020-01-01,1645.384
2020-02-01,1656.989
2020-03-01,2045.148
2020-04-01,2953.586
2020-05-01,3217.635
2020-06-01,3043.556
2020-07-01,2718.529
2020-08-01,2799.719
